multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
3,WU341A,1932-01-01,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,29.0
17,5777770,1932-01-01,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0
24,XIIUME,1932-01-01,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0
35,GE1466,1932-01-01,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0
40,VTIIAHV,1932-01-01,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0
41,6611172,1932-01-01,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0
50,GCP332,1932-01-01,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0
55,9999868,1932-01-01,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0
57,NTHGLFT,1932-01-01,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0
59,FD1475,1932-01-01,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0
61,VY90540,2022-11-08,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0
64,M431ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,2.0
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0
69,VNK296GP,1932-01-01,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0
72,HK06YMX,1932-01-01,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0
75,W326AVE,1932-01-01,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0
79,MVU4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,33.0
81,8B90638,1932-01-01,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0
82,5777770,1932-01-01,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0
91,INTIGR8,1932-01-01,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0
92,CD05601,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0
93,3646HBH,1932-01-01,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0
101,RFH373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0
102,B81JKY,1932-01-01,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0
103,5777770,1932-01-01,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0
109,DI2LOT,1932-01-01,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,74.0
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0
138,831MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0
140,MVU4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0
144,HF58HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,37.0
148,FD1475,1932-01-01,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0
150,INTIGR8,1932-01-01,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0
155,691XC80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0
161,990XYK,1932-01-01,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0
162,NTHGLFT,1932-01-01,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0
164,MVU4688,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0
170,WEFLYN,1932-01-01,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0
171,CD05601,1932-01-01,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0
172,810TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0
176,B81JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0
178,WU341A,1932-01-01,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,27.0
190,VNK296GP,1932-01-01,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0
193,3646HBH,1932-01-01,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0
